,team1,team2,date,score,winner,elo1,elo2
0,x6tence,movistar riders,2020-05-01 20:30:00+00:00,0 - 1,movistar riders,1362.6160305373346,1496.5224856213588
1,queso,giants,2020-05-01 19:00:00+00:00,1 - 0,queso,1400.0,1433.2949917319584
2,offset,cream,2020-05-01 17:45:00+00:00,0 - 1,cream,1299.9773312045563,1369.0794630079888
3,wizards,s2v,2020-05-01 16:30:00+00:00,0 - 1,s2v,1400.0,1367.0636135571594
4,endpoint,vexed,2020-05-01 18:00:00+00:00,2 - 0,endpoint,1506.9235845902613,1411.822344054101
5,vexed,nerdrage,2020-05-01 14:00:00+00:00,2 - 1,vexed,1411.822344054101,1361.6661968031403
6,alternate attax,fate,2020-04-30 17:00:00+00:00,1 - 0,alternate attax,1436.419602330135,1485.2770293450897
7,alternate attax,demolition crew,2020-04-30 16:00:00+00:00,1 - 0,alternate attax,1436.419602330135,1323.092150456867
8,unicorns of love,pact,2020-04-30 15:00:00+00:00,1 - 0,unicorns of love,1335.755513636071,1319.9664730976103
9,overt,avant,2020-04-30 11:10:00+00:00,0 - 1,avant,1420.0,1675.3402916069247
10,pc419,twa,2020-04-30 11:10:00+00:00,0 - 1,twa,1282.2932083697701,1400.0
11,paradox,fury,2020-04-30 11:10:00+00:00,1 - 0,paradox,1423.277275796772,1348.0873095478294
12,ground zero,rooster,2020-04-30 10:10:00+00:00,0 - 1,rooster,1463.250096321726,1484.996527690948
13,fury,incept,2020-04-30 10:10:00+00:00,0 - 1,incept,1348.0873095478294,1339.5093739249958
14,twa,esea open,2020-04-30 10:10:00+00:00,0 - 1,esea open,1400.0,1400.0
15,avant,ground zero,2020-04-30 09:10:00+00:00,1 - 0,avant,1675.3402916069247,1463.250096321726
16,aa,keep the comms up,2020-05-01 01:00:00+00:00,3 - 1,aa,1469.39910996241,1444.3222560107517
17,teamone,"blood, sweat, and tears",2020-05-01 02:00:00+00:00,1 - 0,teamone,1499.9191086657581,1434.9714602475767
18,morning light,way 2 french,2020-05-01 02:00:00+00:00,0 - 1,way 2 french,1400.0,1400.0
19,under 21,big frames,2020-05-01 01:00:00+00:00,0 - 1,big frames,1530.8994320366273,1266.011497258383
