name;name2;
wolsung;;
orgles5;;
project5;;
madeeka;;
navi youth;na'vi junior;
london;;
honoris;;
control;;
prodigy;prodigy (brazil);
generation of miracles;;
mk;;
epikk;;
boca boston;;
nordavind no;;
riddle;;
bitfrost;;
ex-wizards;;
excellency;;
fwrd;;
wizards;;
queso;;
way 2 french;;
morning light;;
justice;;
twa;;
iwis;;
bantz;;
downfall;;
forbidden;;
overt;;
esea open;;
ago nest;;
sangal;;
swedish canadians;;
cyberwolves;;
galactics esc;;
gtz bulls;;
warriors;warriors international;
terro;;
plmix;;
detona pound;;
paqueta;;
ex-airborne;;
nerdrage;;
les petits bouffons;;
ex-vexed;;
keep the comms up;;
orion;;
w2c;;
trvpremeslo;;
trepunktnoll;;
jigadood;;
heartless;;
ztayhome;;
pupsiki squad;;
eidos;;
o2;;
zero.tsg;;
chrome;;
cex;;
the pensioners;;
vac;;
rebel;;
exalty;;
alltech;;
nicecactus;;
one one;;
amsterdam kings;;
lamif;;
reünie;;
sateliti;;
mynec;;
trtrr;;
blink;;
mustang crew;;
bluejays;;
blood, sweat, and tears;blood sweat;
rozu;;
draconic;;
ex-mc academy;;
wygers;;
strange tactics;;
bogatiri;;
nosurrender;;
keymotion;;
coscu army;;
hsl;;
qlash forge;;
hg;;
manguste;;
exaequo italy;;
elites;;
broccoli & chicken;;
sapphirekelownadotcom;;
ex-up;;
brave soldiers;;
red feet;;
utopian;;
rise;;
adastra;;
timbermen;;
dans ta yeule;;
trivium;;
xternal;;
kinship black;;
savage;;
neko paradise;;
raijin;;
front;;
pdhm;;
dogs of war;;
precision;;
polar ace;;
serac;;
lavender;;
luxgaming;;
303;;
buffdaddy's paypal;buffdaddys;buffdaddys paypal
chetz;;
kingzzz;;
lionz;;
babos;;
silent;;
nonamers;;
myinsanity;;
casa de papel;;
cyber legacy;;
aa;alcoholics anonymous;
campus vejle * flammen;;
aligon;;
infamous;;
funplus phoenix;;
crazycoco;;
nyyrikki;;
vertex;;
district 7;;
ex-eunited;;
i sleep;;
tiger;;
justpassingby;;
markandlarry;;
shidiots;;
entry;;
in the lab;;
lucid;;
penguinsmokeweed;;
electrify;;
rooster;;
lords of plumbing;;
hunkydads;;
braintrust;;
eimi fukada fc;;
aeroplane;;
4 and a half men;;
umumba;;
levelzero;;
wings;;
nocturns;;
lnd;;
duck nutz;;
sinisters;;
freerox;;
under 21;;
ex-intz;;
stepback;;
kinetic;;
igen;;
wubbalubbadubdub;;
born in mongolia;;
shinelikedemons;;
aim4r;;
updraft;;
ignis;;
d13;;
2k;;
intz.academy;;
speedrunners;;
dopeclvb;;
atlants;;
ekaterinburg;;
fakedospro;;
fearow;;
hawks;;
up;;
cptl;;
kynyniekat;;
rehti;;
swole identity;;
rysix;;
ex-skullz;;
polar ace south;;
e-gaming;;
nlg;;
brazen;;
gameagents;;
thedabers;;
sinners;sinners (cz);
pax;;
no2b;;
sws;;
rensga;;
slashlevel;;
timechasers;;
alltherage;;
1337huania;;
sigma;;
yoink;;
deeznuts;;
wildcats;;
ne parsya;;
maslomaslo;;
lapw;;
fbg;;
jijiehao;;
very1zgaming;;
ferox;;
hot ass;;
orgless;;
fakemaquinas;;
unluckers;;
we are orgless;;
new patrol;;
super nova csgo;;
asterius;;
neverest;;
dynasty;;
salamander;;
prima;;
moon daddy;;
klan gadanych głupot;;
dogsclvb;;
unlukoexpress;;
ha masse;;
everybodydance;;
1win;;
moscow five academy;;
100pinggods;;
revolt;;
imperium;;
prospects;;
1820ht;;
akatsuki;;
blinkdagger;;
space jam;;
sgindomix;;
zigma;;
clowns;;
paper rex;;
blank;;
ze pug godz;;
fiveg;;
lyngby vikings;;
bravos;;
skyfire;;
divine vendetta;;
c0ntact;;
freestyle;;
incubus;;
supremacy;;
rsc19;;
cephei;;
jokers;;
agarthas;;
black;;
ex-bizarre;;
hardstuck main;;
fraggin4praze;;
ethereal;ethereal (ru);
s2v;;
euronics;;
cisbots;;
hard4u;;
hz;;
trident;;
formidable;;
avengers;;
no problem!;;
demolition crew;;
esper;;
rock candy;;
skin ogres;;
axis;;
spray'n'pray;;
el'quvet;;
incept;;
airborne;;
yeah;;
station7;;
russian street party;;
2be continued;;
astro;;
onegodlike.jr;;
dreamseller;;
armory;;
noname.newgen;;
saskatoon warriors;;
maple;;
7sins;;
ex-intact;;
apeks;;
meandtheboys;;
ex-ambush;;
impunity;;
a point;;
gmcc;;
darkhorse;;
mazaalai;;
saw;;
recon 5;;
just for fun;;
in young ren;;
rocketlauncher$;;
sg.pro;s-gaming;
project x;;
furia inagame;;
ex-intic;;
noorg;;
evolve;;
rejected;;
9z;;
radnicki;;
nexus;;
budapest five;;
ex-virtus.pro;;
ad hoc;;
big academy;;
empire;;
csgo-mdl;;
j money crew;;
new england whalers;;
call it luck;;
bad news bandits;;
arrow;;
daryl's make a wish;;
rbg;;
third impact;;
gorilla gang;;
big chillin;;
asuna's anime aimers;;
the home of the grave;;
eco fraggers anonymous;;
ucf knights;;
cyberstorm;;
kinship;;
ちんぱんじ～;;
ttc;touch the crown;
reapers;;
evidence;;
l9l;;
4bowie;;
macau legend;;
dmc;;
superovd;;
shift;;
cataclysm;;
divisionx;;
rebirth;;
oceanus;;
thunder logic;;
faint;;
agf;;
unicorns of love;;
princeadil;;
owned;;
brute;;
real betis;cream real betis;real betis cream
kpi;;
gen.g;;
juggernauts;;
kim kardashians;;
vicious adikta;;
armada;;
nebuloza;;
psychoactive;;
gejming haus aula;;
outlawz;;
avez;;
legion;;
skippy the kangaroo;;
mako;;
instinct china;;
corvidae;;
srry4waht;;
fightclub;;
sons of lennart;;
youclap;;
electronik generation;;
baecon;baecongg;
dream[s]cape;;
og;;
apologis;;
hellside;;
thedice;the dice;
goliath;;
5orgless;;
arcy;;
finest;;
og3od;;
firemix;;
hub;;
global;;
bl4ze;;
plan a;;
ex-genuine;;
tenerife titans;;
vanguard;;
game fist;;
sector one;sector one.cs;
secret;;
camel riders;;
rvn;;
viboras;;
